அறம் ஒரு கருவி   	அரம் ஒரு கருவி   
அவல் ஒரு மருத்துவர் 	அவள் ஒரு மருத்துவர் 
அவழ் ஒரு மருத்துவர் 	அவள் ஒரு மருத்துவர் 
அள் என்பதன் பொருள் இரவு	அல் என்பதன் பொருள் இரவு
அழ் என்பதன் பொருள் இரவு	அல் என்பதன் பொருள் இரவு
அல் என்பதன் பொருள் அள்ளி எடு	அள் என்பதன் பொருள் அள்ளி எடு
அழ் என்பதன் பொருள் அள்ளி எடு	அள் என்பதன் பொருள் அள்ளி எடு
அல் என்பதன் பொருள் நெருக்கம்	அள் என்பதன் பொருள் நெருக்கம்
அழ் என்பதன் பொருள் நெருக்கம்	அள் என்பதன் பொருள் நெருக்கம்
உளவு என்பதன் பொருள் நடப்பது	உலவு என்பதன் பொருள் நடப்பது
உழவு என்பதன் பொருள் நடப்பது	உலவு என்பதன் பொருள் நடப்பது
உழவு என்பதன் பொருள் ஒற்று	உளவு என்பதன் பொருள் ஒற்று
உலவு என்பதன் பொருள் ஒற்று	உளவு என்பதன் பொருள் ஒற்று
உலவு என்பதன் பொருள் கலப்பையால் உழுதல்	உழவு என்பதன் பொருள் கலப்பையால் உழுதல்
உளவு என்பதன் பொருள் கலப்பையால் உழுதல்	உழவு என்பதன் பொருள் கலப்பையால் உழுதல்
உளி என்பதன் பொருள் இடம்	உழி என்பதன் பொருள் இடம்
உலி என்பதன் பொருள் இடம்	உழி என்பதன் பொருள் இடம்
உலி என்பதன் பொருள் பொழுது	உழி என்பதன் பொருள் பொழுது
உளி என்பதன் பொருள் பொழுது	உழி என்பதன் பொருள் பொழுது
உலி என்பதன் பொருள் தச்சுக் கருவிகளுள் ஒன்று	உளி என்பதன் பொருள் தச்சுக் கருவிகளுள் ஒன்று
உழி என்பதன் பொருள் தச்சுக் கருவிகளுள் ஒன்று	உளி என்பதன் பொருள் தச்சுக் கருவிகளுள் ஒன்று
உளு என்பதன் பொருள் தானியப் பதர்	உலு என்பதன் பொருள் தானியப் பதர்
உழு என்பதன் பொருள் தானியப் பதர்	உலு என்பதன் பொருள் தானியப் பதர்
உலு என்பதன் பொருள் நிலத்தை உழு	உழு என்பதன் பொருள் நிலத்தை உழு
உளு என்பதன் பொருள் நிலத்தை உழு	உழு என்பதன் பொருள் நிலத்தை உழு
உலு என்பதன் பொருள் உளுத்துப் போதல்	உளு என்பதன் பொருள் உளுத்துப் போதல்
உழு என்பதன் பொருள் உளுத்துப் போதல்	உளு என்பதன் பொருள் உளுத்துப் போதல்
உழை என்பதன் பொருள் கொல்லன் உலை	உலை என்பதன் பொருள் கொல்லன் உலை
உளை என்பதன் பொருள் கொல்லன் உலை	உலை என்பதன் பொருள் கொல்லன் உலை
உழை என்பதன் பொருள் நீருலை	உலை என்பதன் பொருள் நீருலை
உளை என்பதன் பொருள் நீருலை	உலை என்பதன் பொருள் நீருலை
உளை என்பதன் பொருள் பாடுபடு	உழை என்பதன் பொருள் பாடுபடு
உலை என்பதன் பொருள் பாடுபடு	உழை என்பதன் பொருள் பாடுபடு
உளை என்பதன் பொருள் பக்கம்	உழை என்பதன் பொருள் பக்கம்
உலை என்பதன் பொருள் பக்கம்	உழை என்பதன் பொருள் பக்கம்
உலை என்பதன் பொருள் கலைமான்	உழை என்பதன் பொருள் கலைமான்
உளை என்பதன் பொருள் கலைமான்	உழை என்பதன் பொருள் கலைமான்
உழை என்பதன் பொருள் பிடரி மயிர்	உளை என்பதன் பொருள் பிடரி மயிர்
உலை என்பதன் பொருள் பிடரி மயிர்	உளை என்பதன் பொருள் பிடரி மயிர்
உழை என்பதன் பொருள் சேறு	உளை என்பதன் பொருள் சேறு
உலை என்பதன் பொருள் சேறு	உளை என்பதன் பொருள் சேறு
உலை என்பதன் பொருள் தலை	உளை என்பதன் பொருள் தலை
உழை என்பதன் பொருள் தலை	உளை என்பதன் பொருள் தலை
உளுவை என்பதன் பொருள் புலி	உழுவை என்பதன் பொருள் புலி
உளுவை என்பதன் பொருள் புலி	உழுவை என்பதன் பொருள் புலி
உழுவை என்பதன் பொருள் மீன்வகை	உளுவை என்பதன் பொருள் மீன்வகை
உழுவை என்பதன் பொருள் மீன்வகை	உளுவை என்பதன் பொருள் மீன்வகை
எள் என்பதன் பொருள் கல்	எல் என்பதன் பொருள் கல்
எள் என்பதன் பொருள் மாலை	எல் என்பதன் பொருள் மாலை
எள் என்பதன் பொருள் சூரியன்	எல் என்பதன் பொருள் சூரியன்
எல் என்பதன் பொருள் எண்ணெய் வித்து	எள் என்பதன் பொருள் எண்ணெய் வித்து
எல் என்பதன் பொருள் நிந்தை	எள் என்பதன் பொருள் நிந்தை
எழு என்பதன் பொருள் கரடி	எலு என்பதன் பொருள் கரடி
எழு என்பதன் பொருள் கரடி	எலு என்பதன் பொருள் கரடி
எலு என்பதன் பொருள் எழுந்திரு	எழு என்பதன் பொருள் எழுந்திரு
எலு என்பதன் பொருள் எழுந்திரு	எழு என்பதன் பொருள் எழுந்திரு
எலு என்பதன் பொருள் தூண்	எழு என்பதன் பொருள் தூண்
எலு என்பதன் பொருள் தூண்	எழு என்பதன் பொருள் தூண்
ஒளி என்பதன் பொருள் சப்தம்	ஒலி என்பதன் பொருள் சப்தம்
ஒழி என்பதன் பொருள் சப்தம்	ஒலி என்பதன் பொருள் சப்தம்
ஒளி என்பதன் பொருள் நாதம்	ஒலி என்பதன் பொருள் நாதம்
ஒழி என்பதன் பொருள் நாதம்	ஒலி என்பதன் பொருள் நாதம்
ஒளி என்பதன் பொருள் காற்று	ஒலி என்பதன் பொருள் காற்று
ஒழி என்பதன் பொருள் காற்று	ஒலி என்பதன் பொருள் காற்று
ஒலி என்பதன் பொருள் அழி	ஒழி என்பதன் பொருள் அழி
ஒளி என்பதன் பொருள் அழி	ஒழி என்பதன் பொருள் அழி
ஒலி என்பதன் பொருள் தவிர்	ஒழி என்பதன் பொருள் தவிர்
ஒளி என்பதன் பொருள் தவிர்	ஒழி என்பதன் பொருள் தவிர்
ஒலி என்பதன் பொருள் கொல்	ஒழி என்பதன் பொருள் கொல்
ஒளி என்பதன் பொருள் கொல்	ஒழி என்பதன் பொருள் கொல்
ஒலி என்பதன் பொருள் துற	ஒழி என்பதன் பொருள் துற
ஒளி என்பதன் பொருள் துற	ஒழி என்பதன் பொருள் துற
ஒலி என்பதன் பொருள் வெளிச்சம்	ஒளி என்பதன் பொருள் வெளிச்சம்
ஒழி என்பதன் பொருள் வெளிச்சம்	ஒளி என்பதன் பொருள் வெளிச்சம்
ஒலி என்பதன் பொருள் மறைத்து வை	ஒளி என்பதன் பொருள் மறைத்து வை
ஒழி என்பதன் பொருள் மறைத்து வை	ஒளி என்பதன் பொருள் மறைத்து வை
ஒள் என்பதன் பொருள் ஒலிக்குறிப்பு	ஒல் என்பதன் பொருள் ஒலிக்குறிப்பு
ஒல் என்பதன் பொருள் அழகு	ஒள் என்பதன் பொருள் அழகு
ஒல் என்பதன் பொருள் உண்மை	ஒள் என்பதன் பொருள் உண்மை
ஒல் என்பதன் பொருள் அறிவு	ஒள் என்பதன் பொருள் அறிவு
ஒல் என்பதன் பொருள் ஒளி	ஒள் என்பதன் பொருள் ஒளி
கழகம் என்பதன் பொருள் போர்	கலகம் என்பதன் பொருள் போர்
கழகம் என்பதன் பொருள் அமளி	கலகம் என்பதன் பொருள் அமளி
கழகம் என்பதன் பொருள் இரைச்சல்	கலகம் என்பதன் பொருள் இரைச்சல்
கலகம் என்பதன் பொருள் சங்கம்	கழகம் என்பதன் பொருள் சங்கம்
கலகம் என்பதன் பொருள் கூட்டமைப்பு	கழகம் என்பதன் பொருள் கூட்டமைப்பு
களங்கம் என்பதன் பொருள் கழங்கு	கழங்கம் என்பதன் பொருள் கழங்கு
களங்கம் என்பதன் பொருள் கழங்கு	கழங்கம் என்பதன் பொருள் கழங்கு
களங்கம் என்பதன் பொருள் விளையாட்டுக் கருவி	கழங்கம் என்பதன் பொருள் விளையாட்டுக் கருவி
களங்கம் என்பதன் பொருள் விளையாட்டுக் கருவி	கழங்கம் என்பதன் பொருள் விளையாட்டுக் கருவி
கழங்கம் என்பதன் பொருள் குற்றம்	களங்கம் என்பதன் பொருள் குற்றம்
கழங்கம் என்பதன் பொருள் குற்றம்	களங்கம் என்பதன் பொருள் குற்றம்
கழங்கம் என்பதன் பொருள் அழுக்கு	களங்கம் என்பதன் பொருள் அழுக்கு
கழங்கம் என்பதன் பொருள் அழுக்கு	களங்கம் என்பதன் பொருள் அழுக்கு
கழி என்பதன் பொருள் கலியுகம்	கலி என்பதன் பொருள் கலியுகம்
களி என்பதன் பொருள் கலியுகம்	கலி என்பதன் பொருள் கலியுகம்
கழி என்பதன் பொருள் பாவகை	கலி என்பதன் பொருள் பாவகை
களி என்பதன் பொருள் பாவகை	கலி என்பதன் பொருள் பாவகை
கழி என்பதன் பொருள் சனி	கலி என்பதன் பொருள் சனி
களி என்பதன் பொருள் சனி	கலி என்பதன் பொருள் சனி
கலி என்பதன் பொருள் கோல்	கழி என்பதன் பொருள் கோல்
களி என்பதன் பொருள் கோல்	கழி என்பதன் பொருள் கோல்
கலி என்பதன் பொருள் மிகுதி	கழி என்பதன் பொருள் மிகுதி
களி என்பதன் பொருள் மிகுதி	கழி என்பதன் பொருள் மிகுதி
கலி என்பதன் பொருள் உப்பளம்	கழி என்பதன் பொருள் உப்பளம்
களி என்பதன் பொருள் உப்பளம்	கழி என்பதன் பொருள் உப்பளம்
கலி என்பதன் பொருள் மகிழ்வு	களி என்பதன் பொருள் மகிழ்வு
கழி என்பதன் பொருள் மகிழ்வு	களி என்பதன் பொருள் மகிழ்வு
கலி என்பதன் பொருள் இன்பம்	களி என்பதன் பொருள் இன்பம்
கழி என்பதன் பொருள் இன்பம்	களி என்பதன் பொருள் இன்பம்
கழை என்பதன் பொருள் ஆண்மான்	கலை என்பதன் பொருள் ஆண்மான்
களை என்பதன் பொருள் ஆண்மான்	கலை என்பதன் பொருள் ஆண்மான்
கழை என்பதன் பொருள் சந்திரன்	கலை என்பதன் பொருள் சந்திரன்
களை என்பதன் பொருள் சந்திரன்	கலை என்பதன் பொருள் சந்திரன்
கழை என்பதன் பொருள் கல்வி	கலை என்பதன் பொருள் கல்வி
களை என்பதன் பொருள் கல்வி	கலை என்பதன் பொருள் கல்வி
கலை என்பதன் பொருள் மூங்கில்	கழை என்பதன் பொருள் மூங்கில்
களை என்பதன் பொருள் மூங்கில்	கழை என்பதன் பொருள் மூங்கில்
கலை என்பதன் பொருள் கரும்பு	கழை என்பதன் பொருள் கரும்பு
களை என்பதன் பொருள் கரும்பு	கழை என்பதன் பொருள் கரும்பு
கலை என்பதன் பொருள் புனர்பூசம்	கழை என்பதன் பொருள் புனர்பூசம்
களை என்பதன் பொருள் புனர்பூசம்	கழை என்பதன் பொருள் புனர்பூசம்
கழை என்பதன் பொருள் அழகு	களை என்பதன் பொருள் அழகு
கலை என்பதன் பொருள் அழகு	களை என்பதன் பொருள் அழகு
கழை என்பதன் பொருள் புல் பூண்டு	களை என்பதன் பொருள் புல் பூண்டு
கலை என்பதன் பொருள் புல் பூண்டு	களை என்பதன் பொருள் புல் பூண்டு
கழை என்பதன் பொருள் அயர்வு	களை என்பதன் பொருள் அயர்வு
கலை என்பதன் பொருள் அயர்வு	களை என்பதன் பொருள் அயர்வு
கள் என்பதன் பொருள் மலை	கல் என்பதன் பொருள் மலை
கள் என்பதன் பொருள் பாறை	கல் என்பதன் பொருள் பாறை
கள் என்பதன் பொருள் சிறுகல்	கல் என்பதன் பொருள் சிறுகல்
கல் என்பதன் பொருள் மது	கள் என்பதன் பொருள் மது
கல் என்பதன் பொருள் தேன்	கள் என்பதன் பொருள் தேன்
களம் என்பதன் பொருள் கப்பல்	கலம் என்பதன் பொருள் கப்பல்
களம் என்பதன் பொருள் கப்பல் பாத்திரம்	கலம் என்பதன் பொருள் கப்பல் பாத்திரம்
கலம் என்பதன் பொருள் இடம்	களம் என்பதன் பொருள் இடம்
கலம் என்பதன் பொருள் போர்க்களம்	களம் என்பதன் பொருள் போர்க்களம்
கலம் என்பதன் பொருள் இருள்	களம் என்பதன் பொருள் இருள்
காளி என்பதன் பொருள் ஒன்றுமில்லாதது	காலி என்பதன் பொருள் ஒன்றுமில்லாதது
காழி என்பதன் பொருள் ஒன்றுமில்லாதது	காலி என்பதன் பொருள் ஒன்றுமில்லாதது
காளி என்பதன் பொருள் வெற்றிடம்	காலி என்பதன் பொருள் வெற்றிடம்
காழி என்பதன் பொருள் வெற்றிடம்	காலி என்பதன் பொருள் வெற்றிடம்
காலி என்பதன் பொருள் துர்க்கை	காளி என்பதன் பொருள் துர்க்கை
காழி என்பதன் பொருள் துர்க்கை	காளி என்பதன் பொருள் துர்க்கை
காலி என்பதன் பொருள் மாயை	காளி என்பதன் பொருள் மாயை
காழி என்பதன் பொருள் மாயை	காளி என்பதன் பொருள் மாயை
காளி என்பதன் பொருள் சீர்காழி (ஊர்)	காழி என்பதன் பொருள் சீர்காழி (ஊர்)
காலி என்பதன் பொருள் சீர்காழி (ஊர்)	காழி என்பதன் பொருள் சீர்காழி (ஊர்)
காளை என்பதன் பொருள் பொழுது	காலை என்பதன் பொருள் பொழுது
காளை என்பதன் பொருள் விடியற்பொழுது	காலை என்பதன் பொருள் விடியற்பொழுது
காலை என்பதன் பொருள் காளைமாடு	காளை என்பதன் பொருள் காளைமாடு
காலை என்பதன் பொருள் இளைஞன்	காளை என்பதன் பொருள் இளைஞன்
காளம் என்பதன் பொருள் பொழுது	காலம் என்பதன் பொருள் பொழுது
காளம் என்பதன் பொருள் நேரம்	காலம் என்பதன் பொருள் நேரம்
காலம் என்பதன் பொருள் எட்டிமரம்	காளம் என்பதன் பொருள் எட்டிமரம்
காலம் என்பதன் பொருள் சூலம்	காளம் என்பதன் பொருள் சூலம்
கிழி என்பதன் பொருள் அச்சம்	கிலி என்பதன் பொருள் அச்சம்
கிளி என்பதன் பொருள் அச்சம்	கிலி என்பதன் பொருள் அச்சம்
கிழி என்பதன் பொருள் பயம்	கிலி என்பதன் பொருள் பயம்
கிளி என்பதன் பொருள் பயம்	கிலி என்பதன் பொருள் பயம்
கிளி என்பதன் பொருள் கிழித்துவிடு	கிழி என்பதன் பொருள் கிழித்துவிடு
கிலி என்பதன் பொருள் கிழித்துவிடு	கிழி என்பதன் பொருள் கிழித்துவிடு
கிளி என்பதன் பொருள் முடிப்பு (பொன்)	கிழி என்பதன் பொருள் முடிப்பு (பொன்)
கிலி என்பதன் பொருள் முடிப்பு (பொன்)	கிழி என்பதன் பொருள் முடிப்பு (பொன்)
கிலி என்பதன் பொருள் பறவை	கிளி என்பதன் பொருள் பறவை
கிழி என்பதன் பொருள் பறவை	கிளி என்பதன் பொருள் பறவை
கிலி என்பதன் பொருள் வெட்டுக்கிளி	கிளி என்பதன் பொருள் வெட்டுக்கிளி
கிழி என்பதன் பொருள் வெட்டுக்கிளி	கிளி என்பதன் பொருள் வெட்டுக்கிளி
கிளவி என்பதன் பொருள் முதியவள் 	கிழவி என்பதன் பொருள் முதியவள் 
கிளவி என்பதன் பொருள் மூதாட்டி	கிழவி என்பதன் பொருள் மூதாட்டி
கிழவி என்பதன் பொருள் சொல்	கிளவி என்பதன் பொருள் சொல்
கிழவி என்பதன் பொருள் மொழி	கிளவி என்பதன் பொருள் மொழி
குழி என்பதன் பொருள் மனைவி	குலி என்பதன் பொருள் மனைவி
குளி என்பதன் பொருள் மனைவி	குலி என்பதன் பொருள் மனைவி
குளி என்பதன் பொருள் பள்ளம்	குழி என்பதன் பொருள் பள்ளம்
குலி என்பதன் பொருள் பள்ளம்	குழி என்பதன் பொருள் பள்ளம்
குளி என்பதன் பொருள் பாத்தி	குழி என்பதன் பொருள் பாத்தி
குலி என்பதன் பொருள் பாத்தி	குழி என்பதன் பொருள் பாத்தி
குளி என்பதன் பொருள் பன்னீரடிச் சதுரம்	குழி என்பதன் பொருள் பன்னீரடிச் சதுரம்
குலி என்பதன் பொருள் பன்னீரடிச் சதுரம்	குழி என்பதன் பொருள் பன்னீரடிச் சதுரம்
குளி என்பதன் பொருள் வயிறு	குழி என்பதன் பொருள் வயிறு
குலி என்பதன் பொருள் வயிறு	குழி என்பதன் பொருள் வயிறு
குலி என்பதன் பொருள் நீராடு	குளி என்பதன் பொருள் நீராடு
குழி என்பதன் பொருள் நீராடு	குளி என்பதன் பொருள் நீராடு
குளம் என்பதன் பொருள் ஜாதியின் உட்பிரிவு	குலம் என்பதன் பொருள் ஜாதியின் உட்பிரிவு
குளம் என்பதன் பொருள் இனம்	குலம் என்பதன் பொருள் இனம்
குளம் என்பதன் பொருள் குடி	குலம் என்பதன் பொருள் குடி
குலம் என்பதன் பொருள் நீர்நிலை	குளம் என்பதன் பொருள் நீர்நிலை
குலம் என்பதன் பொருள் கண்மாய்	குளம் என்பதன் பொருள் கண்மாய்
குலம் என்பதன் பொருள் ஏரி	குளம் என்பதன் பொருள் ஏரி
குழை என்பதன் பொருள் கொத்து	குலை என்பதன் பொருள் கொத்து
குழை என்பதன் பொருள் மனம் தடுமாறுதல்	குலை என்பதன் பொருள் மனம் தடுமாறுதல்
குலை என்பதன் பொருள் குண்டலம்	குழை என்பதன் பொருள் குண்டலம்
குலை என்பதன் பொருள் குழைந்துபோதல்	குழை என்பதன் பொருள் குழைந்துபோதல்
குழவி என்பதன் பொருள் மகிழ்ந்திருத்தல்	குலவி என்பதன் பொருள் மகிழ்ந்திருத்தல்
குளவி என்பதன் பொருள் மகிழ்ந்திருத்தல்	குலவி என்பதன் பொருள் மகிழ்ந்திருத்தல்
குலவி என்பதன் பொருள் குழந்தை	குழவி என்பதன் பொருள் குழந்தை
குளவி என்பதன் பொருள் குழந்தை	குழவி என்பதன் பொருள் குழந்தை
குளவி என்பதன் பொருள் இளமை	குழவி என்பதன் பொருள் இளமை
குலவி என்பதன் பொருள் இளமை	குழவி என்பதன் பொருள் இளமை
குளவி என்பதன் பொருள் யானைக் கன்று 	குழவி என்பதன் பொருள் யானைக் கன்று 
குலவி என்பதன் பொருள் யானைக் கன்று 	குழவி என்பதன் பொருள் யானைக் கன்று 
குளவி என்பதன் பொருள் அம்மிக்கல்	குழவி என்பதன் பொருள் அம்மிக்கல்
குலவி என்பதன் பொருள் அம்மிக்கல்	குழவி என்பதன் பொருள் அம்மிக்கல்
குலவி ஒரு வண்டு	குளவி ஒரு வண்டு
குழவி ஒரு வண்டு	குளவி ஒரு வண்டு
குழவி என்பதன் பொருள் காட்டுமல்லி	குளவி என்பதன் பொருள் காட்டுமல்லி
குலவி என்பதன் பொருள் காட்டுமல்லி	குளவி என்பதன் பொருள் காட்டுமல்லி
குளிகம் என்பதன் பொருள் சிவப்பு	குலிகம் என்பதன் பொருள் சிவப்பு
குளிகம் என்பதன் பொருள் இலுப்பை	குலிகம் என்பதன் பொருள் இலுப்பை
குலிகம் என்பதன் பொருள் மருந்து	குளிகம் என்பதன் பொருள் மருந்து
குலிகம் என்பதன் பொருள் மாத்திரை	குளிகம் என்பதன் பொருள் மாத்திரை
குவளை என்பதன் பொருள் துளசி	குவலை என்பதன் பொருள் துளசி
குவளை என்பதன் பொருள் கஞ்சா	குவலை என்பதன் பொருள் கஞ்சா
குவலை என்பதன் பொருள் குவளை மலர்	குவளை என்பதன் பொருள் குவளை மலர்
குவலை என்பதன் பொருள் சொம்பு	குவளை என்பதன் பொருள் சொம்பு
குவலை என்பதன் பொருள் ஒரு பேரெண்	குவளை என்பதன் பொருள் ஒரு பேரெண்
கூளம் என்பதன் பொருள் தானியம்	கூலம் என்பதன் பொருள் தானியம்
கூளம் என்பதன் பொருள் கடைத்தெரு	கூலம் என்பதன் பொருள் கடைத்தெரு
கூலம் என்பதன் பொருள் குப்பை	கூளம் என்பதன் பொருள் குப்பை
கூளி என்பதன் பொருள் ஊதியம்	கூலி என்பதன் பொருள் ஊதியம்
கூலி என்பதன் பொருள் பேய்	கூளி என்பதன் பொருள் பேய்
கூலி என்பதன் பொருள் காளை	கூளி என்பதன் பொருள் காளை
கூலி என்பதன் பொருள் வீரர்	கூளி என்பதன் பொருள் வீரர்
கூலி என்பதன் பொருள் படைவீரர்	கூளி என்பதன் பொருள் படைவீரர்
கூலி என்பதன் பொருள் வணங்கி நிற்பவர்	கூளி என்பதன் பொருள் வணங்கி நிற்பவர்
கூலி என்பதன் பொருள் ஏவலாளர்	கூளி என்பதன் பொருள் ஏவலாளர்
கொழு என்பதன் பொருள் அரசசபை	கொலு என்பதன் பொருள் அரசசபை
கொளு என்பதன் பொருள் அரசசபை	கொலு என்பதன் பொருள் அரசசபை
கொழு என்பதன் பொருள் தெய்வசபை	கொலு என்பதன் பொருள் தெய்வசபை
கொளு என்பதன் பொருள் தெய்வசபை	கொலு என்பதன் பொருள் தெய்வசபை
கொழு என்பதன் பொருள் உல்லாசமாக வீற்றிருத்தல்	கொலு என்பதன் பொருள் உல்லாசமாக வீற்றிருத்தல்
கொளு என்பதன் பொருள் உல்லாசமாக வீற்றிருத்தல்	கொலு என்பதன் பொருள் உல்லாசமாக வீற்றிருத்தல்
கொளு என்பதன் பொருள் மழு	கொழு என்பதன் பொருள் மழு
கொலு என்பதன் பொருள் மழு	கொழு என்பதன் பொருள் மழு
கொலு என்பதன் பொருள் கொழுத்து இருத்தல்	கொழு என்பதன் பொருள் கொழுத்து இருத்தல்
கொளு என்பதன் பொருள் கொழுத்து இருத்தல்	கொழு என்பதன் பொருள் கொழுத்து இருத்தல்
கொளு என்பதன் பொருள் கலப்பையில் மாட்டும் பெரிய இரும்பு 	கொழு என்பதன் பொருள் கலப்பையில் மாட்டும் பெரிய இரும்பு 
கொலு என்பதன் பொருள் கலப்பையில் மாட்டும் பெரிய இரும்பு	கொழு என்பதன் பொருள் கலப்பையில் மாட்டும் பெரிய இரும்பு 
கொலு என்பதன் பொருள் புறப்பொருள் வெண்பாமாலைத் துறை 	கொளு என்பதன் பொருள் புறப்பொருள் வெண்பாமாலைத் துறை 
கொழு என்பதன் பொருள் புறப்பொருள் வெண்பாமாலைத் துறை 	கொளு என்பதன் பொருள் புறப்பொருள் வெண்பாமாலைத் துறை 
கொலு என்பதன் பொருள் பொருந்துவாய்	கொளு என்பதன் பொருள் பொருந்துவாய்
கொழு என்பதன் பொருள் பொருந்துவாய்	கொளு என்பதன் பொருள் பொருந்துவாய்
கொளை என்பதன் பொருள் கொல்லுதல்	கொலை என்பதன் பொருள் கொல்லுதல்
கொலை என்பதன் பொருள் கோட்பாடு	கொளை என்பதன் பொருள் கோட்பாடு
கொலை என்பதன் பொருள் பயன்	கொளை என்பதன் பொருள் பயன்
கொலை என்பதன் பொருள் இசைப்பாட்டு	கொளை என்பதன் பொருள் இசைப்பாட்டு
கொலை என்பதன் பொருள் தாளம்	கொளை என்பதன் பொருள் தாளம்
கொள்ளாமை என்பதன் பொருள் கொலை செய்யாமை	கொல்லாமை என்பதன் பொருள் கொலை செய்யாமை
கொல்லாமை என்பதன் பொருள் ஏற்றுக் கொள்ளாமை	கொள்ளாமை என்பதன் பொருள் ஏற்றுக் கொள்ளாமை
கொல்லாமை என்பதன் பொருள் அடங்காமை	கொள்ளாமை என்பதன் பொருள் அடங்காமை
கொள்ளி என்பதன் பொருள் உயிர்க்கொல்லி	கொல்லி என்பதன் பொருள் உயிர்க்கொல்லி
கொள்ளி ஒரு மலை	கொல்லி ஒரு மலை
கொல்லி என்பதன் பொருள் கொள்ளிக்கட்டை	கொள்ளி என்பதன் பொருள் கொள்ளிக்கட்டை
கொள்ளை என்பதன் பொருள் புழக்கடை	கொல்லை என்பதன் பொருள் புழக்கடை
கொள்ளை என்பதன் பொருள் தரிசுநிலம்	கொல்லை என்பதன் பொருள் தரிசுநிலம்
கொல்லை என்பதன் பொருள் திருடுதல்	கொள்ளை என்பதன் பொருள் திருடுதல்
கொல்லை என்பதன் பொருள் மிகுதி	கொள்ளை என்பதன் பொருள் மிகுதி
கோளம் என்பதன் பொருள் அழகு	கோலம் என்பதன் பொருள் அழகு
கோளம் என்பதன் பொருள் அலங்காரம்	கோலம் என்பதன் பொருள் அலங்காரம்
கோலம் என்பதன் பொருள் உருண்டை	கோளம் என்பதன் பொருள் உருண்டை
கோலம் என்பதன் பொருள் வட்டம்	கோளம் என்பதன் பொருள் வட்டம்
கோழை என்பதன் பொருள் மிளகு	கோலை என்பதன் பொருள் மிளகு
கோளை என்பதன் பொருள் மிளகு	கோலை என்பதன் பொருள் மிளகு
கோலை என்பதன் பொருள் வீரமற்றவன்	கோழை என்பதன் பொருள் வீரமற்றவன்
கோளை என்பதன் பொருள் வீரமற்றவன்	கோழை என்பதன் பொருள் வீரமற்றவன்
கோலை என்பதன் பொருள் கபம்	கோழை என்பதன் பொருள் கபம்
கோளை என்பதன் பொருள் கபம்	கோழை என்பதன் பொருள் கபம்
கோழை என்பதன் பொருள் குவளை	கோளை என்பதன் பொருள் குவளை
கோலை என்பதன் பொருள் குவளை	கோளை என்பதன் பொருள் குவளை
கோழை என்பதன் பொருள் எலி	கோளை என்பதன் பொருள் எலி
கோலை என்பதன் பொருள் எலி	கோளை என்பதன் பொருள் எலி
கோள் என்பதன் பொருள் மரக்கொம்பு	கோல் என்பதன் பொருள் மரக்கொம்பு
கோள் என்பதன் பொருள் அம்பு	கோல் என்பதன் பொருள் அம்பு
கோள் என்பதன் பொருள் குதிரைச்சம்மட்டி	கோல் என்பதன் பொருள் குதிரைச்சம்மட்டி
கோள் என்பதன் பொருள் தண்டு	கோல் என்பதன் பொருள் தண்டு
கோள் என்பதன் பொருள் யாழ்நரம்பு	கோல் என்பதன் பொருள் யாழ்நரம்பு
கோல் என்பதன் பொருள் கிரகம்	கோள் என்பதன் பொருள் கிரகம்
கோளி என்பதன் பொருள் இலந்தை	கோலி என்பதன் பொருள் இலந்தை
கோழி என்பதன் பொருள் இலந்தை	கோலி என்பதன் பொருள் இலந்தை
கோளி என்பதன் பொருள் விளையாடும் குண்டு	கோலி என்பதன் பொருள் விளையாடும் குண்டு
கோழி என்பதன் பொருள் விளையாடும் குண்டு	கோலி என்பதன் பொருள் விளையாடும் குண்டு
கோளி என்பதன் பொருள் உறையூர்	கோழி என்பதன் பொருள் உறையூர்
கோலி என்பதன் பொருள் உறையூர்	கோழி என்பதன் பொருள் உறையூர்
கோளி என்பதன் பொருள் விட்டில்	கோழி என்பதன் பொருள் விட்டில்
கோலி என்பதன் பொருள் விட்டில்	கோழி என்பதன் பொருள் விட்டில்
